NO,VALUE
1,0.1
2,0.02
3,0.79
4,0.11
5,0
6,0.89
7,0.32
8,0.28
9,0.13
10,0.8
11,0.64
12,0.07
13,0.29
14,0.15
15,0.58
16,0.3
17,0.33
18,0.12
19,0.03
20,0.48
21,0.26
22,0.84
23,0.65
24,0.56
25,0.21
26,0.94
27,0.6
28,0.97
29,0.4
30,0.95
31,0.55
32,0.51
33,0.36
34,0.09
35,0.22
36,0.58
37,0.78
38,0.63
39,0.02
40,0.48
41,0.49
42,0.92
43,0.96
44,0.62
45,0.2
46,0.62
47,0.54
48,0.65
49,0.76
50,0.47
51,0.79
52,0.16
53,0.6
54,0.58
55,0.98
56,0.09
57,0.92
58,0.95
59,0.46
60,0.13
61,0.83
62,0.45
63,0.52
64,0.39
65,0.56
66,0.02
67,0.81
68,0.13
69,0.38
70,0.86
71,0.97
72,0.87
73,0.24
74,0.71
75,0.95
76,0.77
77,0.15
78,0.17
79,0.36
80,0.26
81,0.88
82,0.62
83,0.95
84,0.18
85,0.18
86,0.64
87,0.46
88,0.41
89,0.25
90,0.65
91,0.76
92,0.74
93,0.18
94,0.37
95,0.78
96,0.68
97,0.52
98,0.66
99,0.75
100,0.03
101,0.07
102,0.63
103,0.65
104,0.96
105,0.35
106,0.26
107,0.82
108,0.4
109,0.24
110,0.53
111,0.16
112,0.34
113,0.25
114,0.88
115,0.53
116,0.54
117,0.98
118,0.35
119,0.67
120,0.43
121,0
122,0.6
123,0.19
124,0.89
125,0.09
126,0.59
127,0.29
128,0.02
129,0.03
130,0.1
131,0.47
132,0.55
133,0.18
134,0.54
135,0.27
136,0.55
137,0.91
138,0.51
139,0.97
140,0.93
141,0.54
142,0.6
143,0.26
144,0.45
145,0.17
146,0.25
147,0.34
148,0.77
149,0.85
150,0.32
151,0.19
152,0.48
153,0.28
154,0.99
155,1
156,0.43
157,0.32
158,0
159,0.2
160,0.7
161,0.43
162,0.04
163,0.42
164,0.87
165,0.42
166,1
167,0.92
168,0.55
169,0.62
170,0.69
171,0.1
172,0.58
173,0.99
174,0.81
175,0.61
176,0.36
177,0.55
178,0.92
179,0.89
180,0.25
181,0.85
182,0.98
183,0.07
184,0.93
185,0.73
186,0.62
187,0.46
188,0.1
189,0.46
190,0.06
191,0.56
192,0.31
193,0.43
194,0.38
195,0.81
196,0.94
197,0.33
198,0.02
199,0.1
200,0.92
201,0.52
202,0.95
203,0.1
204,0.66
205,0.02
206,0.16
207,0.57
208,0.88
209,0.44
210,0.29
211,0.44
212,0.99
213,0.74
214,0.29
215,0.09
216,0.55
217,0.41
218,0.35
219,0.69
220,0.09
221,0.83
222,0.57
223,0.81
224,0.3
225,0.32
226,0.85
227,0.67
228,0.49
229,0.78
230,0.23
231,0.52
232,0.07
233,0.36
234,0.03
235,0.59
236,0.1
237,0.88
238,0.99
239,0.98
240,0.82
241,0.05
242,0.26
243,0.43
244,0.34
245,0.88
246,0.1
247,0.3
248,0.62
249,0.03
250,0.9
251,0.5
252,0.78
253,0.55
254,0.4
255,0.56
256,0.96
257,0.04
258,0.76
259,0.59
260,0.75
261,0.54
262,0.87
263,0.02
264,0.38
265,0.95
266,0.73
267,0.03
268,0.63
269,0.59
270,0.65
271,0.61
272,0.71
273,0.07
274,0.23
275,0.02
276,0.54
277,0.93
278,0.73
279,0.21
280,0.29
281,0.33
282,0.94
283,0.41
284,0.4
285,0.9
286,0.7
287,0.77
288,0.31
289,0.37
290,0.81
291,0.34
292,0.11
293,1
294,0.12
295,0.58
296,0.72
297,0.39
298,0.14
299,0.13
300,0.83
301,0.24
302,0.84
303,0.11
304,0.66
305,0
306,0.71
307,0.06
308,0.8
309,0.89
310,0.61
311,0.19
312,0.74
313,0.56
314,0.6
315,0.43
316,0.12
317,0.44
318,0.51
319,0.32
320,0.25
321,0.88
322,0.97
323,0.07
324,0.87
325,0.38
326,0.95
327,0.72
328,0
329,0.16
330,0.75
331,0.14
332,0.35
333,0.75
334,0.46
335,0.08
336,0.16
337,0.18
338,0.52
339,0.13
340,0.93
341,0.38
342,0.32
343,0.44
344,0.41
345,0.18
346,0.66
347,0.91
348,0.27
349,0.37
350,0.01
351,0.77
352,0.4
353,0.37
354,0.3
355,0.86
356,0.42
357,0.83
358,0.45
359,0.74
360,0.12
361,0.15
362,1
363,0.04
364,0.21
365,0.32
366,0.68
367,0.84
368,0.08
369,0.34
370,0.48
371,0.69
372,0.38
373,0.65
374,1
375,0.35
376,0.16
377,0.64
378,0.3
379,0.9
380,0.75
381,0.54
382,0.49
383,0.69
384,0.94
385,0.5
386,0.14
387,0.03
388,0.75
389,0.7
390,0.77
391,0.78
392,0.8
393,0.22
394,0.59
395,0.19
396,0.87
397,0.83
398,0.24
399,0.52
400,0.88
401,0.88
402,0.14
403,0.59
404,0.72
405,0.55
406,0.3
407,0.9
408,0.46
409,0.16
410,0.44
411,0.61
412,0.81
413,0.67
414,0.9
415,0.17
416,0.14
417,0.88
418,0.47
419,0.27
420,0.95
421,0.8
422,0.97
423,0.73
424,0.38
425,0.2
426,0.47
427,0.59
428,0.85
429,0.07
430,0.28
431,0.97
432,0.01
433,0.65
434,0.93
435,0.58
436,0.07
437,0.5
438,0.71
439,0.61
440,0.45
441,0.77
442,0.71
443,0.23
444,0.36
445,0.02
446,0.02
447,0.53
448,0.46
449,0.76
450,0.6
451,0.53
452,0.97
453,0.75
454,0.03
455,0.7
456,0.64
457,0.66
458,0.03
459,0.86
460,0.52
461,0.7
462,0.07
463,0.93
464,0.99
465,0.39
466,0.96
467,0
468,0.25
469,0.02
470,0.95
471,0.8
472,0.12
473,0.03
474,0.13
475,0.51
476,0.14
477,0.7
478,0.12
479,0.09
480,0.76
481,0.04
482,0.04
483,0.01
484,0.94
485,0.16
486,0.44
487,0.73
488,0.19
489,0.54
490,0.3
491,0.73
492,0.12
493,0.44
494,0.31
495,0.1
496,0.11
497,0.78
498,0.21
499,0.6
500,0.64
501,0.39
502,0.99
503,0.78
504,0.37
505,0.42
506,0.86
507,0.26
508,0.39
509,0.95
510,0.69
511,0.05
512,0.9
513,0.92
514,0.66
515,0.51
516,0.34
517,0.14
518,0.68
519,0.78
520,0.4
521,0.32
522,0.99
523,0.11
524,0.59
525,0.85
526,0
527,0.38
528,0.15
529,0.69
530,0.05
531,0.27
532,0.62
533,0.5
534,0.58
535,0.32
536,0.03
537,0.45
538,0.67
539,0.07
540,0.88
541,0.65
542,0.1
543,0.64
544,0.28
545,0
546,1
547,0.9
548,0.14
549,0.94
550,0.52
551,0.17
552,0.12
553,0.2
554,0.42
555,0.56
556,0.14
557,0.43
558,0.32
559,0.65
560,0.5
561,0.17
562,0.83
563,0.81
564,0.36
565,0.09
566,0
567,0.9
568,0.66
569,0.31
570,0.41
571,0.04
572,0.02
573,0.39
574,0.27
575,0.52
576,0.76
577,0.99
578,0.42
579,0.83
580,0.62
581,0.1
582,0.43
583,0.64
584,0.87
585,0.56
586,0.62
587,0.74
588,0.05
589,0.01
590,0.52
591,0.38
592,0.75
593,0.62
594,0.94
595,0.97
596,0.1
597,0.19
598,0.4
599,0.8
600,0.16
